feature,coeficiente
cat__ultima_review_semestre_2013-2-semestre,184.04521535907693
cat__disponibilidade_365_categorico_1_Ano,174.95683256748907
cat__room_type_Shared room,164.62119397323661
cat__minimo_noites_categorico_Entre_1_Meses_e_6_Meses,134.19457107641614
cat__room_type_Private room,118.78652303844777
cat__bairro_group_Manhattan,92.71293408193901
cat__minimo_noites_categorico_Mais_de_1_Ano,64.46051505334428
cat__disponibilidade_365_categorico_Entre_6_Meses_e_1_Ano,64.18558649567305
cat__minimo_noites_categorico_Entre_6_Meses_e_1_Ano,57.714188504818615
cat__disponibilidade_365_categorico_Entre_2_Meses_e_6_Meses,55.377001356682975
cat__bairro_group_Brooklyn,39.20701940238065
cat__minimo_noites_categorico_Entre_1_a_3_Dias,39.16105882064518
cat__ultima_review_semestre_2019-1-semestre,37.04342394740721
cat__disponibilidade_365_categorico_Entre_1_Mes_e_2_Meses,32.30240267559802
cat__ultima_review_semestre_2012-2-semestre,28.94808815593265
cat__disponibilidade_365_categorico_Entre_2_Semanas_e_1_Mes,28.7155133665077
cat__ultima_review_semestre_2016-1-semestre,28.32870353673457
cat__ultima_review_semestre_2014-1-semestre,27.380266911207798
cat__ultima_review_semestre_2018-1-semestre,25.744793143067966
cat__minimo_noites_categorico_Entre_3_a_7_Dias,22.64124720276849
cat__bairro_group_Staten Island,21.906910609703537
cat__ultima_review_semestre_2018-2-semestre,19.82633521127043
cat__ultima_review_semestre_2014-2-semestre,19.59459075009716
cat__ultima_review_semestre_2017-2-semestre,19.047766114706526
cat__bairro_group_Queens,18.330151489997885
cat__ultima_review_semestre_2012-1-semestre,17.345148743126547
cat__minimo_noites_categorico_Entre_2_Semanas_e_1_Mes,15.997661340581434
cat__disponibilidade_365_categorico_Entre_1 e 2 Semanas,15.315165885376858
cat__valor_preenchido_1,13.098702010831847
cat__ultima_review_semestre_anuncio_sem_review,13.098702010831847
cat__disponibilidade_365_categorico_Entre_1_a_3_Dias,11.619225508941334
cat__ultima_review_semestre_2017-1-semestre,11.55410128708575
cat__ultima_review_semestre_2015-1-semestre,9.615204527221987
cat__ultima_review_semestre_2016-2-semestre,7.369522339019395
cat__disponibilidade_365_categorico_Entre_3_a_7_Dias,6.931429440792218
cat__ultima_review_semestre_2011-2-semestre,6.598885480856161
num__numero_de_reviews,4.364979652502821
cat__ultima_review_semestre_2015-2-semestre,4.306298963979803
num__reviews_por_mes,2.6419662438422633
cat__minimo_noites_categorico_Entre_1_e_2_Semanas,1.037248473853158
cat__ultima_review_semestre_2013-1-semestre,0.8173873642681309
num__calculado_host_listings_count,0.03546167403464144
